                    X              UR1-Node2              UR1-Node3              UR2-Node2              UR2-Node3              UR3-Node2              UR3-Node3                   U1-Node2               U1-Node3               U2-Node2               U2-Node3               U3-Node2               U3-Node3
               14.5E-03            1.98675E-03        7.72021E-03       -7.34328E-06      -16.4713E-06        -3.22692E-03       -4.27329E-03     -778.903E-09         -4.56145E-06     -880.921E-06         -2.82435E-03      978.905E-09          2.96124E-06
               15.E-03           -69.2054E-06       336.641E-06         -8.92482E-06     -524.706E-09         -3.27759E-03       -4.36728E-03     -787.729E-09         -4.7137E-06      -891.144E-06         -2.8735E-03         1.04417E-06        3.34638E-06
               15.5E-03            4.58702E-03        9.26838E-03      -10.2746E-06       -23.5527E-06        -3.31549E-03       -4.42206E-03     -819.745E-09         -4.85009E-06     -900.994E-06         -2.90769E-03        1.09636E-06        3.71303E-06
               16.E-03             8.80946E-03       16.6453E-03       -11.8931E-06       -43.4818E-06        -3.34133E-03       -4.43592E-03     -842.384E-09         -4.91651E-06     -910.622E-06         -2.92645E-03        1.14381E-06        4.11272E-06
               16.5E-03            5.73326E-03        8.10914E-03      -13.2446E-06       -23.5693E-06        -3.35372E-03       -4.4129E-03      -850.382E-09         -4.89234E-06     -919.212E-06         -2.9301E-03         1.19925E-06        4.58643E-06
               17.E-03            -1.32308E-03        2.20086E-03       -8.28774E-06       -7.41623E-06       -3.35222E-03       -4.36162E-03     -854.826E-09         -4.8334E-06      -925.174E-06         -2.91956E-03        1.26994E-06        5.08133E-06
               17.5E-03            2.52942E-03        6.5089E-03       -11.3905E-06       -19.7067E-06        -3.33513E-03       -4.29284E-03     -860.062E-09         -4.74115E-06     -926.548E-06         -2.89616E-03        1.33962E-06        5.54336E-06
               18.E-03             9.73797E-03       14.1242E-03       -16.7345E-06       -40.6009E-06        -3.30181E-03       -4.21776E-03     -862.533E-09         -4.62553E-06     -921.499E-06         -2.8613E-03         1.43485E-06        5.99099E-06
               18.5E-03            5.93309E-03       13.2578E-03       -13.3299E-06       -36.644E-06         -3.2518E-03        -4.14386E-03     -837.065E-09         -4.48529E-06     -908.806E-06         -2.81609E-03        1.59514E-06        6.46484E-06
               19.E-03           377.613E-06          2.07384E-03      -12.1773E-06       -11.1007E-06        -3.18511E-03       -4.07444E-03     -784.043E-09         -4.28975E-06     -888.196E-06         -2.7612E-03         1.80046E-06        6.95063E-06
               19.5E-03            1.317E-03          3.24111E-03      -13.2067E-06       -14.4221E-06        -3.103E-03         -4.00605E-03     -738.337E-09         -4.10739E-06     -860.448E-06         -2.69673E-03        2.02266E-06        7.39791E-06
               20.E-03             6.97177E-03       14.7764E-03       -14.7613E-06       -40.0868E-06        -3.00657E-03       -3.93194E-03     -696.572E-09         -3.93194E-06     -827.229E-06         -2.62237E-03        2.25417E-06        7.81843E-06
               20.5E-03            9.02972E-03       13.2188E-03       -17.3845E-06       -38.3619E-06        -2.89853E-03       -3.8421E-03      -636.931E-09         -3.68788E-06     -790.715E-06         -2.53756E-03        2.49765E-06        8.27386E-06
               21.E-03             1.40242E-03        4.73953E-03      -13.9561E-06       -18.0834E-06        -2.78035E-03       -3.72722E-03     -567.239E-09         -3.42035E-06     -753.101E-06         -2.44186E-03        2.75474E-06        8.76835E-06
               21.5E-03         -930.279E-06          2.88988E-03      -13.0198E-06       -13.9609E-06        -2.65451E-03       -3.58038E-03     -511.843E-09         -3.13568E-06     -716.101E-06         -2.33527E-03        2.99959E-06        9.25286E-06
               22.E-03             7.00876E-03        9.91385E-03      -17.8526E-06       -29.9395E-06        -2.52184E-03       -3.39974E-03     -470.718E-09         -2.83363E-06     -680.578E-06         -2.21839E-03        3.21649E-06        9.71717E-06
               22.5E-03            8.66847E-03       16.3113E-03       -16.9943E-06       -40.4483E-06        -2.38385E-03       -3.19003E-03     -430.476E-09         -2.53317E-06     -646.403E-06         -2.09257E-03        3.41621E-06       10.2075E-06 
