                 0.85076E-12                -0.58359E-07                -0.66188E-10                 0.15853E-02                 0.63402E-08                -0.34149E-05                -0.13135E-10                -0.39309E-05                 0.53339E-10                 0.42926E-02                -0.15517E-07                -0.96941E-05
                 0.17699E-10                -0.50492E-06                -0.13503E-08                 0.61437E-02                 0.87618E-07                -0.17186E-04                -0.32160E-09                -0.19480E-04                 0.10933E-08                 0.12148E-01                -0.22540E-06                -0.48002E-04
                 0.65931E-10                -0.22011E-05                -0.79513E-08                 0.77514E-02                 0.28699E-06                -0.44819E-04                -0.21352E-08                -0.49912E-04                 0.64945E-08                 0.12572E-01                -0.34438E-06                -0.12024E-03
                 0.65934E-10                -0.65689E-05                -0.23468E-07                 0.25142E-02                 0.52429E-06                -0.86479E-04                -0.74685E-08                -0.94017E-04                 0.19326E-07                 0.61855E-02                 0.77006E-06                -0.21835E-03
                -0.10444E-09                -0.15321E-04                -0.45510E-07                 0.46033E-03                 0.64032E-06                -0.14226E-03                -0.18157E-07                -0.15026E-03                 0.37730E-07                 0.37907E-02                 0.15054E-05                -0.33273E-03
                -0.72604E-09                -0.30060E-04                -0.74732E-07                 0.55808E-02                 0.49404E-06                -0.21215E-03                -0.35499E-07                -0.21704E-03                 0.62665E-07                 0.93424E-02                -0.10769E-05                -0.45365E-03
                -0.24819E-08                -0.51896E-04                -0.12233E-06                 0.77034E-02                 0.55052E-06                -0.29585E-03                -0.60368E-07                -0.29296E-03                 0.10498E-06                 0.14053E-01                -0.35325E-05                -0.57392E-03
                -0.63109E-08                -0.81166E-04                -0.19208E-06                 0.38908E-02                 0.12017E-05                -0.39277E-03                -0.93557E-07                -0.37699E-03                 0.16979E-06                 0.81068E-02                -0.67363E-07                -0.68963E-03
                -0.13379E-07                -0.11731E-03                -0.26859E-06                 0.75453E-03                 0.18877E-05                -0.50200E-03                -0.13645E-06                -0.46860E-03                 0.24463E-06                 0.26907E-02                 0.35952E-05                -0.80142E-03
                -0.24790E-07                -0.15895E-03                -0.33486E-06                 0.34548E-02                 0.91054E-06                -0.62223E-03                -0.19143E-06                -0.56767E-03                 0.31581E-06                 0.83520E-02                -0.12086E-05                -0.91354E-03
                -0.41082E-07                -0.20412E-03                -0.38447E-06                 0.80787E-02                -0.12512E-05                -0.75201E-03                -0.26171E-06                -0.67435E-03                 0.38375E-06                 0.13452E-01                -0.68038E-05                -0.10332E-02
