                 0.27490E-05                 0.00000E+00                 0.00000E+00                 0.00000E+00                 0.00000E+00                 0.00000E+00                 0.28717E-02                 0.00000E+00                 0.00000E+00                 0.00000E+00                 0.00000E+00                 0.00000E+00
                 0.21929E-04                 0.00000E+00                 0.00000E+00                 0.00000E+00                 0.00000E+00                 0.00000E+00                 0.11454E-01                 0.00000E+00                 0.00000E+00                 0.00000E+00                 0.00000E+00                 0.00000E+00
                 0.90086E-04                 0.00000E+00                 0.00000E+00                 0.00000E+00                 0.00000E+00                 0.00000E+00                 0.25649E-01                 0.00000E+00                 0.00000E+00                 0.00000E+00                 0.00000E+00                 0.00000E+00
                 0.26063E-03                 0.00000E+00                 0.00000E+00                 0.00000E+00                 0.00000E+00                 0.00000E+00                 0.45293E-01                 0.00000E+00                 0.00000E+00                 0.00000E+00                 0.00000E+00                 0.00000E+00
                 0.60524E-03                 0.00000E+00                 0.00000E+00                 0.00000E+00                 0.00000E+00                 0.00000E+00                 0.68729E-01                 0.00000E+00                 0.00000E+00                 0.00000E+00                 0.00000E+00                 0.00000E+00
                 0.12067E-02                 0.00000E+00                 0.00000E+00                 0.00000E+00                 0.00000E+00                 0.00000E+00                 0.92818E-01                 0.00000E+00                 0.00000E+00                 0.00000E+00                 0.00000E+00                 0.00000E+00
                 0.21487E-02                 0.00000E+00                 0.00000E+00                 0.00000E+00                 0.00000E+00                 0.00000E+00                 0.11586E+00                 0.00000E+00                 0.00000E+00                 0.00000E+00                 0.00000E+00                 0.00000E+00
                 0.35083E-02                 0.00000E+00                 0.00000E+00                 0.00000E+00                 0.00000E+00                 0.00000E+00                 0.13759E+00                 0.00000E+00                 0.00000E+00                 0.00000E+00                 0.00000E+00                 0.00000E+00
                 0.53530E-02                 0.00000E+00                 0.00000E+00                 0.00000E+00                 0.00000E+00                 0.00000E+00                 0.15778E+00                 0.00000E+00                 0.00000E+00                 0.00000E+00                 0.00000E+00                 0.00000E+00
                 0.77387E-02                 0.00000E+00                 0.00000E+00                 0.00000E+00                 0.00000E+00                 0.00000E+00                 0.17623E+00                 0.00000E+00                 0.00000E+00                 0.00000E+00                 0.00000E+00                 0.00000E+00
