
                  X               UR1           UR2           UR3           U1           U2           U3    
                5.25E-03          -2.41305E-09     -650.78E-09          26.4281E-06        -2.2037E-06         2.20096E-06        2.19488E-06
                5.35E-03          -2.6016E-09      -701.504E-09         27.4444E-06        -2.2884E-06         2.28544E-06        2.27889E-06
                5.45E-03          -2.80095E-09     -755.122E-09         28.48E-06          -2.37469E-06        2.37151E-06        2.36446E-06
                5.55E-03          -3.01152E-09     -811.738E-09         29.5347E-06        -2.46257E-06        2.45916E-06        2.45157E-06
                5.65E-03          -3.2337E-09      -871.461E-09         30.6086E-06        -2.55206E-06        2.54838E-06        2.54024E-06
                5.75E-03          -3.46792E-09     -934.4E-09           31.7016E-06        -2.64313E-06        2.63919E-06        2.63045E-06
                5.85E-03          -3.7146E-09        -1.00067E-06       32.8139E-06        -2.7358E-06         2.73157E-06        2.72222E-06
                5.95E-03          -3.97416E-09       -1.07038E-06       33.9453E-06        -2.83006E-06        2.82554E-06        2.81553E-06
                6.E-03            -4.10889E-09       -1.10655E-06       34.5182E-06        -2.87778E-06        2.87311E-06        2.86276E-06
                6.1E-03           -4.3886E-09        -1.18164E-06       35.6784E-06        -2.97443E-06        2.96944E-06        2.95838E-06
                6.2E-03           -4.68229E-09       -1.26045E-06       36.8577E-06        -3.07268E-06        3.06735E-06        3.05555E-06
                6.3E-03           -4.99043E-09       -1.34312E-06       38.0563E-06        -3.17251E-06        3.16683E-06        3.15425E-06
                6.4E-03           -5.31348E-09       -1.42975E-06       39.274E-06         -3.27394E-06        3.26789E-06        3.2545E-06 
                6.5E-03           -5.65189E-09       -1.52048E-06       40.5108E-06        -3.37695E-06        3.37052E-06        3.35627E-06
                6.6E-03           -6.00615E-09       -1.61542E-06       41.7669E-06        -3.48156E-06        3.47472E-06        3.45958E-06
                6.7E-03           -6.37673E-09       -1.7147E-06        43.0421E-06        -3.58777E-06        3.58049E-06        3.56442E-06
                6.75E-03          -6.56828E-09       -1.76601E-06       43.6869E-06        -3.64146E-06        3.63397E-06        3.61742E-06
                6.85E-03          -6.96426E-09       -1.87204E-06       44.9909E-06        -3.75005E-06        3.7421E-06         3.72455E-06
                6.95E-03          -7.3778E-09        -1.98274E-06       46.3141E-06        -3.86023E-06        3.85181E-06        3.83321E-06
                7.05E-03          -7.8094E-09        -2.09823E-06       47.6565E-06        -3.972E-06          3.96308E-06        3.94339E-06
                7.15E-03          -8.25956E-09       -2.21864E-06       49.018E-06         -4.08535E-06        4.07592E-06        4.05509E-06
                7.25E-03          -8.72882E-09       -2.34411E-06       50.3987E-06        -4.2003E-06         4.19033E-06        4.16832E-06
                7.35E-03          -9.21768E-09       -2.47478E-06       51.7986E-06        -4.31684E-06        4.3063E-06         4.28305E-06
                7.45E-03          -9.72669E-09       -2.61078E-06       53.2176E-06        -4.43497E-06        4.42384E-06        4.39931E-06
                7.5E-03           -9.98889E-09       -2.68081E-06       53.9343E-06        -4.49463E-06        4.4832E-06         4.458E-06  
                7.6E-03          -10.5291E-09        -2.82507E-06       55.3821E-06        -4.61514E-06        4.60309E-06        4.57653E-06
                7.7E-03          -11.0908E-09        -2.975E-06         56.8491E-06        -4.73724E-06        4.72454E-06        4.69656E-06
                7.8E-03          -11.6746E-09        -3.13076E-06       58.3353E-06        -4.86093E-06        4.84755E-06        4.81809E-06
                7.9E-03          -12.281E-09         -3.29248E-06       59.8406E-06        -4.9862E-06         4.97212E-06        4.94113E-06
                8.E-03           -12.9105E-09        -3.46032E-06       61.3651E-06        -5.11306E-06        5.09826E-06        5.06568E-06
                8.1E-03          -13.5638E-09        -3.63441E-06       62.9088E-06        -5.24151E-06        5.22595E-06        5.19172E-06
                8.2E-03          -14.2414E-09        -3.81491E-06       64.4716E-06        -5.37155E-06        5.35521E-06        5.31926E-06
                8.25E-03         -14.5895E-09        -3.9076E-06        65.2603E-06        -5.43717E-06        5.42042E-06        5.38359E-06
                8.35E-03         -15.3046E-09        -4.09798E-06       66.8519E-06        -5.56958E-06        5.552E-06          5.51337E-06
                8.45E-03         -16.0456E-09        -4.29514E-06       68.4627E-06        -5.70359E-06        5.68515E-06        5.64464E-06
                8.55E-03         -16.813E-09         -4.49924E-06       70.0927E-06        -5.83918E-06        5.81985E-06        5.77739E-06
                8.65E-03         -17.6073E-09        -4.71042E-06       71.7418E-06        -5.97635E-06        5.9561E-06         5.91163E-06
                8.75E-03         -18.4293E-09        -4.92884E-06       73.4101E-06        -6.11511E-06        6.0939E-06         6.04736E-06
                8.85E-03         -19.2795E-09        -5.15466E-06       75.0976E-06        -6.25546E-06        6.23326E-06        6.18456E-06
                8.95E-03         -20.1586E-09        -5.38804E-06       76.8043E-06        -6.39739E-06        6.37417E-06        6.32324E-06
                9.E-03           -20.6091E-09        -5.5076E-06        77.6648E-06        -6.46895E-06        6.4452E-06         6.39314E-06
                9.1E-03          -21.5326E-09        -5.75261E-06       79.4002E-06        -6.61326E-06        6.58843E-06        6.53403E-06
                9.2E-03          -22.4865E-09        -6.00557E-06       81.1548E-06        -6.75915E-06        6.73321E-06        6.67639E-06
                9.3E-03          -23.4716E-09        -6.26664E-06       82.9286E-06        -6.90663E-06        6.87953E-06        6.82022E-06
                9.4E-03          -24.4883E-09        -6.536E-06         84.7215E-06        -7.05569E-06        7.0274E-06         6.96551E-06
