                -0.20402E-05                 0.19360E-05                 0.20317E-05                -0.22429E-04                -0.21774E-04                 0.50926E-02
                -0.21218E-05                 0.20096E-05                 0.21126E-05                -0.23204E-04                -0.22521E-04                 0.52959E-02
                -0.22050E-05                 0.20843E-05                 0.21951E-05                -0.23986E-04                -0.23275E-04                 0.55032E-02
                -0.22897E-05                 0.21602E-05                 0.22791E-05                -0.24775E-04                -0.24038E-04                 0.57144E-02
                -0.23761E-05                 0.22373E-05                 0.23647E-05                -0.25570E-04                -0.24808E-04                 0.59296E-02
                -0.24641E-05                 0.23154E-05                 0.24518E-05                -0.26371E-04                -0.25585E-04                 0.61487E-02
                -0.25537E-05                 0.23948E-05                 0.25404E-05                -0.27178E-04                -0.26371E-04                 0.63718E-02
                -0.26449E-05                 0.24752E-05                 0.26306E-05                -0.27991E-04                -0.27164E-04                 0.65988E-02
                -0.27376E-05                 0.25567E-05                 0.27224E-05                -0.28808E-04                -0.27964E-04                 0.68298E-02
                -0.28320E-05                 0.26393E-05                 0.28157E-05                -0.29631E-04                -0.28772E-04                 0.70647E-02
                -0.29280E-05                 0.27230E-05                 0.29106E-05                -0.30459E-04                -0.29588E-04                 0.73036E-02
                -0.30255E-05                 0.28077E-05                 0.30070E-05                -0.31291E-04                -0.30411E-04                 0.75464E-02
                -0.31247E-05                 0.28935E-05                 0.31049E-05                -0.32127E-04                -0.31242E-04                 0.77931E-02
                -0.32255E-05                 0.29803E-05                 0.32044E-05                -0.32967E-04                -0.32080E-04                 0.80438E-02
                -0.33278E-05                 0.30682E-05                 0.33054E-05                -0.33811E-04                -0.32926E-04                 0.82984E-02
                -0.34318E-05                 0.31571E-05                 0.34079E-05                -0.34658E-04                -0.33779E-04                 0.85570E-02
                -0.35373E-05                 0.32470E-05                 0.35120E-05                -0.35508E-04                -0.34641E-04                 0.88195E-02
                -0.36445E-05                 0.33379E-05                 0.36176E-05                -0.36362E-04                -0.35510E-04                 0.90859E-02
                -0.37532E-05                 0.34298E-05                 0.37247E-05                -0.37218E-04                -0.36388E-04                 0.93562E-02
                -0.38636E-05                 0.35227E-05                 0.38334E-05                -0.38077E-04                -0.37274E-04                 0.96305E-02
                -0.39755E-05                 0.36166E-05                 0.39436E-05                -0.38939E-04                -0.38168E-04                 0.99087E-02
                -0.40891E-05                 0.37114E-05                 0.40553E-05                -0.39803E-04                -0.39070E-04                 0.10191E-01
                -0.42042E-05                 0.38071E-05                 0.41685E-05                -0.40669E-04                -0.39981E-04                 0.10477E-01
                -0.43209E-05                 0.39038E-05                 0.42833E-05                -0.41537E-04                -0.40900E-04                 0.10767E-01
                -0.44393E-05                 0.40015E-05                 0.43995E-05                -0.42407E-04                -0.41828E-04                 0.11061E-01
                -0.45592E-05                 0.41000E-05                 0.45173E-05                -0.43278E-04                -0.42766E-04                 0.11358E-01
